,first_name,last_name,college,position,match count
884,Lauren,Durham,Stetson,4,17
886,Lauren,Freed,College of Charleston,4,23
888,Lauren,McMurray,Cal State Northridge,3,16
891,Lauren,Naatz,Portland,4,7
893,Lauren,Orlich,Tulane,3,16
897,Lauren,Page,Oregon,3,10
898,Lauren,Petersen,Jacksonville,2,8
901,Lauren,Rokey,Morehead State,4,2
902,Lauren,Sproule,Utah,5,8
903,Lauren,Stivrins,Nebraska,1,12
906,Lauren,Twitty,New Mexico,2,10
908,Lauren,Walker,Abilene Christian,2,8
910,Lea,Monkhouse,Hawaii,2,22
913,Leah,Hardeman,Coastal Carolina,2,5
916,Leah,Perri,South Carolina,4,25
919,Lela,Mcintosh,Mercer,4,7
921,Lexi,Ham,Stetson,4,1
922,Lexie,Rawls,Abilene Christian,3,3
925,Lilly,Kessler,LSU,5,3
926,Lily,Justine,UCLA,2,39
928,Lina,Bernier,FIU,3,14
930,Lindsey,Calvin,Saint Mary's,4,22
933,Lindsey,Knudsen,Saint Mary's,2,21
934,Lindsey,Vander Weide,Oregon,1,11
935,Liz,Allen,Morehead State,1,3
936,Liz,Reich,Portland,5,7
938,Logan,Manusky,College of Charleston,5,23
940,Luiza,Andrade,San Jose State University,3,10
942,Lydia,Dimke,South Carolina,2,2
945,Lydia,Dimke,South Carolina,5,2
946,Lyndi,Scholl,San Jose State University,1,21
947,Lynsey,Wright,Missouri State,5,10
950,MC,Rogers,Central Arkansas,4,8
953,Mac,May,UCLA,4,26
956,Macey,Hayden,"Cal State University, Sacramento",4,8
959,Macie,Tendrich,South Carolina,4,25
961,Mackenzie,Allen,FGCU,1,20
962,Mackenzie,Dear,Central Arkansas,5,11
963,Mackenzie,Morris,FAU,3,13
966,Mackenzie,Rombach,Jacksonville State,5,6
967,Mackenzie,Swan,Jacksonville,1,8
970,Mackenzie,Walker,FIU,5,1
972,Macy,Gordon,Cal Poly SLO,4,19
976,Macy,Jerger,Florida State,3,16
977,Madalyn,Roh,Pepperdine,1,16
979,Maddie,Beck,Missouri State,3,1
981,Maddie,Cloutier,Jacksonville State,5,18
982,Maddie,Dilfer,Pepperdine,5,27
984,Maddie,Fella,Morehead State,5,2
985,Maddie,Gordon,Georgia State,5,9
