,Position,TeamAPlayer1,TeamAPlayer2,TeamBPlayer1,TeamBPlayer2,Winner,Loser,Compid,Event Date
819,4,Elsa Woods,Mariah Clausen,Sofia Gomez,Jordan Neria,Long Beach City College,Ventura College,819,20180223
819,5,Brooklyn Mize,Jasmine Palacios,Carina Cates,Danielle Garcia,Long Beach City College,Ventura College,819,20180223
820,1,Milla Anderson,Sarah Connell,Xitaloli Gonzalez,Caashyi McGruder,San Diego Mesa College,Victor Valley College,820,20180223
820,2,Melissa Pittelkau,Devon Lee,Hanna Lopatriello,Mary  Flores,San Diego Mesa College,Victor Valley College,820,20180223
820,3,Lizette Moore-Teague,Kylie Cassicippo,Rachel Firm,Hylee Butterfield,San Diego Mesa College,Victor Valley College,820,20180223
820,4,Robyn Brooks,Alina Snyder,Jenna Mendenhall,Ashley Iauregui,San Diego Mesa College,Victor Valley College,820,20180223
820,5,Sabrina Calcutt,Tiarah Tucker,Arianna Williams,Mary Castillo,San Diego Mesa College,Victor Valley College,820,20180223
821,1,Teegan Van Gunst,Tiffany Creamer,Savanna Cary,Mackenzie Redner,Georgia State,Eckerd ,821,20180224
821,2,Annika Van Gunst,Brooke Weiner,Madison  Whiting,Arielle Erillo,Georgia State,Eckerd ,821,20180224
821,3,Ashley McGinn,Allie Elson,Paula Hoffman,Kaitlyn Sibson,Eckerd ,Georgia State,821,20180224
821,4,Rebekah Brodbeck,Amie  Held,Rachel Cornatzer,Jordan Duffy,Georgia State,Eckerd ,821,20180224
821,5,Eden Hawes,Ashley Bauchert,Stephanie Bogda,Kali Boatwright,Georgia State,Eckerd ,821,20180224
823,1,Shannon Williams,Ali Denney,Carly Perales,Sunniva Helland-Hansen,South Carolina,Stetson,823,20180224
823,2,Carly Schneider,Katie Smith,Darby Dunn,Sammee Thomas,Stetson,South Carolina,823,20180224
823,3,Leah Perri,Macie Tendrich,Alexa Richardson,Rachel Noble,Stetson,South Carolina,823,20180224
823,4,Julia Mannisto,Jess Vastine,Quinci Birker,Rebecca Ingram,South Carolina,Stetson,823,20180224
823,5,Franky Harrison,Hannah Edelman,Julie Varga,Lauren Durham,South Carolina,Stetson,823,20180224
824,1,Macy Jerger,Victoria Paranagua,Teegan Van Gunst,Tiffany Creamer,Georgia State,Florida State,824,20180224
824,2,Vanessa Freire,Brooke Kuhlman,Annika Van Gunst,Brooke Weiner,Florida State,Georgia State,824,20180224
824,3,Francesca Goncalves,Sara Putt,Olivia Stasevich,Georgia Johnson,Florida State,Georgia State,824,20180224
824,4,Katie Horton,Hailey Luke,Ashley McGinn,Allie Elson,Florida State,Georgia State,824,20180224
824,5,Molly McBain,Madison Fitzpatrick,Amie  Held,Kate Novack,Florida State,Georgia State,824,20180224
825,1,Deahna Kraft,Corinne Quiggle,Claire Coppola,Kristen Nuss,LSU,Pepperdine,825,20180224
825,2,Brook Bauer,Madalyn Roh,Haleigh Nelson,Hunter Domanski,Pepperdine,LSU,825,20180224
825,3,Heidi Dyer,Gigi Hernandez,Olivia Powers,Maddie Ligon,Pepperdine,LSU,825,20180224
825,4,Skylar Caputo,Alexis Filippone,Emmy Allen,Megan Davenport,Pepperdine,LSU,825,20180224
825,5,Kaity Bailey,Katie Gavin,Emily Hardesty,Gina Tillis,Pepperdine,LSU,825,20180224
826,1,Claire Coppola,Kristen Nuss,Annika Albrecht,Lauren Stivrins,LSU,Nebraska,826,20180224
826,2,Haleigh Nelson,Hunter Domanski,Jazz Sweat,Kenzie Maloney,LSU,Nebraska,826,20180224
826,3,Olivia Powers,Maddie Ligon,Kelly Hunter,Sami Slaughter,LSU,Nebraska,826,20180224
826,4,Emmy Allen,Megan Davenport,Allie Havers,Jasmine Schmidt,LSU,Nebraska,826,20180224
826,5,Emily Hardesty,Gina Tillis,Chesney McClellan,Hayley Densberger,LSU,Nebraska,826,20180224
827,1,Haven Hill,Cassie House,Gabby Atchley,Whitney Walker,TCU,Texas A&M; Kingsville,827,20180224
