,Position,TeamAPlayer1,TeamAPlayer2,TeamBPlayer1,TeamBPlayer2,Winner,Loser,Compid,Event Date
212,3,Madi Yeomans,Elise Zappia,Catherine Raquel,Payton Chang,UCLA,Stanford,860,20180225
213,4,Megan Muret,Izzy Carey,Kate Formico,Courtney Bowen,Stanford,UCLA,860,20180225
214,5,Savvy Simo,Mac May,Kat Anderson,Caitlin Keefe,UCLA,Stanford,860,20180225
215,1,Abril Bustamante,Terese Cannon,Torrey Van Winden,Tia Miric,USC,Cal Poly SLO,861,20180225
216,2,Haley Hallgren,Sammy Slater,Sam Manley,Emily Sonny,Cal Poly SLO,USC,861,20180225
217,3,Brianna Sizemore,Joy Dennis,Hannah Hubbard,Raeann Greisen,USC,Cal Poly SLO,861,20180225
218,4,Jenna Belton,Jo Kremer,Adlee Van Winden,Brayden Gruenewald,USC,Cal Poly SLO,861,20180225
219,5,Alexandra Poletto,Maja Kaiser,Heather Pembroke,Macy Gordon,Cal Poly SLO,USC,861,20180225
220,1,Torrey Van Winden,Tia Miric,Mia Rivera,Kwyn Johnson,Cal Poly SLO,ASU,862,20180225
221,2,Emily Sonny,Sam Manley,Natalie Braun,Frances Giedraitis,Cal Poly SLO,ASU,862,20180225
222,3,Hannah Hubbard,Raeann Greisen,Ellyson Lundberg,Katelyn Carballo,ASU,Cal Poly SLO,862,20180225
223,4,Adlee Van Winden,Brayden Gruenewald,Cierra Flood,Katie Cross,ASU,Cal Poly SLO,862,20180225
224,5,Heather Pembroke,Macy Gordon,Kate  Baldwin,Samantha Plaster,Cal Poly SLO,ASU,862,20180225
225,1,Gabby Love,Grace Convey,Gabby Atchley,Whitney Walker,ULM,Texas A&M; Kingsville,863,20180225
226,2,Kayla Gallant,Maile Sellers,Macy Berg,Madison Brabham,ULM,Texas A&M; Kingsville,863,20180225
227,3,Catherine Griffith,Rebecca Brown,Tenley Housler,Erin Umbel,ULM,Texas A&M; Kingsville,863,20180225
228,4,Allie Kemp,Bailey Smith,Haley Hutchinson ,Loren Washington,ULM,Texas A&M; Kingsville,863,20180225
229,5,Holland Ponthieux,Taylor  Meyer,Madeleine  Sims,Kyra Henderson ,ULM,Texas A&M; Kingsville,863,20180225
230,1,Federica Frasca,Margherita Bianchin,Gabby Atchley,Whitney Walker,FIU,Texas A&M; Kingsville,864,20180225
231,2,Anabela Sataric,Dorina Klinger,Madison Brabham,Macy Berg,FIU,Texas A&M; Kingsville,864,20180225
232,3,Lina Bernier,Erika Zembyla,Tenley Housler,Erin Umbel,FIU,Texas A&M; Kingsville,864,20180225
233,4,Estefanie  Bethancourt,Natalia Giron,Haley Hutchinson ,Loren Washington,FIU,Texas A&M; Kingsville,864,20180225
234,5,Erin Byrne,Mariana Dal Pozzo,Madeleine  Sims,Malee Sowa,FIU,Texas A&M; Kingsville,864,20180225
235,1,Natalie Anselmo,Olivia Macdonald,Fernanda Vido,Lyndi Scholl,Arizona,San Jose State University,865,20180225
236,2,Kacey Nady,Olivia Hallaran,Ciara Reistad,Julia Golbeck,Arizona,San Jose State University,865,20180225
237,3,Brooke Burling,Candice Denny,Jamie Hirai,Hayley Sturgeon,Arizona,San Jose State University,865,20180225
238,4,Jonny Baham,Mia Mason,Breann Robinson,Luiza Andrade,Arizona,San Jose State University,865,20180225
