,division,college,first_name,last_name,mu,sigma
250,DI,Oregon,Kyra,Hanawahine,20.81117903488073,5.099614092284871
251,DI,Boise State,Drew,Hanneman,21.37903204258138,7.557783669176263
252,DI,Cal State Bakersfield,Emily,Hansen,31.924759181963204,4.089087189744592
253,DI,Boise State,Kenna,Hanses,16.808844226393152,5.108979392076637
254,DI,Missouri State,Julia,Hanson,18.863827291623107,5.7722031110171965
255,DI,Coastal Carolina,Leah,Hardeman,34.34012982880284,4.466965863023261
256,DI,LSU,Emily,Hardesty,28.313251687481994,5.571903127417245
257,DI,Arizona,Chelsey,Harris,25.0,8.333333333333334
258,DI,Stetson,Samantha,Harris,31.203123525187372,3.123997764080061
259,DI,South Carolina,Franky,Harrison,25.51533394333757,4.005470939178772
260,DI,Long Beach State,Hailey,Harward,37.96119295998838,3.635455052607229
261,DI,Nebraska,Allie,Havers,17.83231966759047,5.105654355406605
262,DI,Georgia State,Eden,Hawes,28.365781076918964,3.34941324491458
263,DI,"Cal State University, Sacramento",Macey,Hayden,24.21800574902754,4.439572285233595
264,DI,Cal State Bakersfield,Sydney,Haynes,31.9247591819632,4.089087189744592
265,DI,Georgia State,Amie,Held,31.09621495921322,2.8229631952219107
266,DI,Stetson,Sunniva,Helland-Hansen,39.017411517567936,3.507155755360183
267,DI,Stanford,Morgan,Hentz,41.172464731853935,3.1450670456696668
268,DI,Tulane,Addison,Hermstad,33.758317694565775,2.8988418106324376
269,DI,Pepperdine,Gigi,Hernandez,39.703956712741245,2.8888652690941035
270,DI,Cal State Bakersfield,Krista,Hernandez,15.327285507734947,4.666091256009387
271,DI,Saint Mary's,Mary,Hernandez,31.64891414466915,3.1219438639572563
272,DI,TCU,Haven,Hill,40.447072989193224,2.8773636244891985
273,DI,Houston Baptist,Tori,Hinojosa,34.07430187377643,3.07365249766506
274,DI,San Jose State University,Jamie,Hirai,23.390477039650815,3.8237649009027646
275,DI,Central Arkansas,Kristine,Hjembo,30.681452956268032,3.936965727835506
276,DI,UNF,Carina,Hoff,37.70353482118569,3.799830142730467
277,DI,Central Arkansas,Shelby,Holmes,25.329464441596354,4.871372875269987
278,DI,UCLA,Chanti,Holroyd,27.05923091312171,6.858169736890287
279,DI,Pacific,Alex,Holt,34.911297740137435,3.4609903119688337
280,DI,Hawaii,Ari,Homayun,39.60970467774845,2.8302457688583016
281,DI,Grand Canyon,Natalie,Honzovicova,26.45926097314399,5.328234139792061
282,DI,Houston Baptist,Aeriel,Horton,48.07320379779415,3.359193324732422
283,DI,Florida State,Katie,Horton,47.149978865410795,3.392234740407731
284,DI,TCU,Cassie,House,40.447072989193224,2.8773636244891985
285,DI,UNF,Chaney,Howard,34.7020947250941,3.122156450291638
286,DI,USF,Haley,Howell,27.00735937333351,3.8344305865715524
287,DI,Cal Poly SLO,Hannah,Hubbard,32.25892416241475,2.8895340292286367
288,DI,Hawaii,Hi'ilawe,Huddleston,33.99901442652525,5.318540919334164
289,DI,Jacksonville State,Hailey,Hughes,21.009510330368283,4.072771308429814
290,DI,Portland,Kellie,Hughes,17.12598104464843,6.675321519221293
291,DI,Saint Mary's,Morgan,Hughes,43.9578787697813,3.3008923208413643
292,DI,UNC Wilmington,Halle,Hunt,29.56697720724232,3.0898835331841186
293,DI,Nebraska,Kelly,Hunter,30.237291174289957,4.483756781780194
294,DI,Cal State Northridge,Erin,Indermill,20.116457291897085,4.151471905223353
295,DI,Stetson,Rebecca,Ingram,29.700736397688424,3.4261000494507945
296,DI,Cal,Alexia,Inman,43.31154518052419,2.941096850995499
297,DI,New Mexico,Maddie,Irwin,33.84486546690683,4.018059493011267
298,DI,Grand Canyon,Kelli,Iverson,27.42534070175552,4.834445205063667
299,DI,UAB,Haley,Jared,23.40982046736457,4.2067357144945
300,DI,Jacksonville State,Grace,Jarnagin,13.522701732911026,4.240763272564976
