division,compID,location,date,college,first_name,last_name,position,result,score
DI,870,"Phoenix, Az",2018-02-23,Cal Poly SLO,Torrey,Van Winden,1,0,"17-21, 21-19, 15-4"
DI,870,"Phoenix, Az",2018-02-23,Cal Poly SLO,Tia,Miric,1,0,"17-21, 21-19, 15-4"
DI,870,"Phoenix, Az",2018-02-23,Grand Canyon,Katie,Pyles,1,1,"17-21, 21-19, 15-4"
DI,870,"Phoenix, Az",2018-02-23,Grand Canyon,Molly,Turner,1,1,"17-21, 21-19, 15-4"
DI,870,"Phoenix, Az",2018-02-23,Cal Poly SLO,Sam,Manley,2,1,"21-16, 21-16"
DI,870,"Phoenix, Az",2018-02-23,Cal Poly SLO,Emily,Sonny,2,1,"21-16, 21-16"
DI,870,"Phoenix, Az",2018-02-23,Grand Canyon,Jessica,Stansfield,2,0,"21-16, 21-16"
DI,870,"Phoenix, Az",2018-02-23,Grand Canyon,Hannah,Towne,2,0,"21-16, 21-16"
DI,870,"Phoenix, Az",2018-02-23,Cal Poly SLO,Raeann,Greisen,3,0,"21-19, 21-15"
DI,870,"Phoenix, Az",2018-02-23,Cal Poly SLO,Hannah,Hubbard,3,0,"21-19, 21-15"
DI,870,"Phoenix, Az",2018-02-23,Grand Canyon,Bella,Baumann,3,1,"21-19, 21-15"
DI,870,"Phoenix, Az",2018-02-23,Grand Canyon,Taylor,Jarzombek,3,1,"21-19, 21-15"
DI,870,"Phoenix, Az",2018-02-23,Cal Poly SLO,Adlee,Van Winden,4,1,"22-20, 10-21, 15-12"
DI,870,"Phoenix, Az",2018-02-23,Cal Poly SLO,Brayden,Gruenewald,4,1,"22-20, 10-21, 15-12"
DI,870,"Phoenix, Az",2018-02-23,Grand Canyon,Madi,Relaz,4,0,"22-20, 10-21, 15-12"
DI,870,"Phoenix, Az",2018-02-23,Grand Canyon,Natalie,Honzovicova,4,0,"22-20, 10-21, 15-12"
DI,870,"Phoenix, Az",2018-02-23,Cal Poly SLO,Macy,Gordon,5,1,"21-19, 21-17"
DI,870,"Phoenix, Az",2018-02-23,Cal Poly SLO,Heather,Pembroke,5,1,"21-19, 21-17"
DI,870,"Phoenix, Az",2018-02-23,Grand Canyon,Katie,Sarber,5,0,"21-19, 21-17"
DI,870,"Phoenix, Az",2018-02-23,Grand Canyon,Jessica,Clark,5,0,"21-19, 21-17"
DII,821,"  Deland, FL  ",2018-02-24,Eckerd ,Savanna,Cary,1,0,"21-9, 21-19"
DII,821,"  Deland, FL  ",2018-02-24,Eckerd ,Mackenzie,Redner,1,0,"21-9, 21-19"
DI,821,"  Deland, FL  ",2018-02-24,Georgia State,Teegan,Van Gunst,1,1,"21-9, 21-19"
DI,821,"  Deland, FL  ",2018-02-24,Georgia State,Tiffany,Creamer,1,1,"21-9, 21-19"
DII,821,"  Deland, FL  ",2018-02-24,Eckerd ,Arielle,Erillo,2,0,"21-12, 21-12"
DII,821,"  Deland, FL  ",2018-02-24,Eckerd ,Madison ,Whiting,2,0,"21-12, 21-12"
DI,821,"  Deland, FL  ",2018-02-24,Georgia State,Annika,Van Gunst,2,1,"21-12, 21-12"
DI,821,"  Deland, FL  ",2018-02-24,Georgia State,Brooke,Weiner,2,1,"21-12, 21-12"
DII,821,"  Deland, FL  ",2018-02-24,Eckerd ,Kaitlyn,Sibson,3,1,"19-21, 21-15, 17-15"
DII,821,"  Deland, FL  ",2018-02-24,Eckerd ,Paula,Hoffman,3,1,"19-21, 21-15, 17-15"
DI,821,"  Deland, FL  ",2018-02-24,Georgia State,Allie,Elson,3,0,"19-21, 21-15, 17-15"
DI,821,"  Deland, FL  ",2018-02-24,Georgia State,Ashley,McGinn,3,0,"19-21, 21-15, 17-15"
DII,821,"  Deland, FL  ",2018-02-24,Eckerd ,Rachel,Cornatzer,4,0,"21-16, 21-10"
