,name,last_season_end_rating,new_season_start_rating
529,Maya Watkins,29.080611210293593,25.0
530,Holland Ponthieux,29.06814000062681,25.0
531,Charis Ludtke,28.87777633532423,25.0
532,Rhyan Rand,28.861411743602428,25.0
533,Rachel Evans,28.75823079438879,25.0
534,Erin Reineking,28.633255475649214,25.0
535,Olivia Lohmeier,28.540520769078483,25.0
536,Samantha Drechsel,28.51653400267502,25.0
537,Tatiana San Juan,28.488810810116345,25.0
538,Taylor Odom,28.462749288983424,25.0
539,Sjea Anderson,28.458322630298365,25.0
540,Olivia Lee,28.458322630298365,25.0
541,Chanti Holroyd,28.40148536975444,25.0
542,Abbey Wilson,28.335625850655024,25.0
543,Jamie McQuarrie,28.33254996283922,25.0
544,Hayley Sturgeon,28.27702033605863,25.0
545,Nicole Decker,28.19267429401405,25.0
546,Carly Beddingfield,28.10990772444428,25.0
547,Kaitlyn Lines,28.088696979318364,25.0
548,Jordyn Miller,28.04067783269115,25.0
549,Claire Darland,28.00291499736167,25.0
550,Lela Mcintosh,27.999332029485632,25.0
551,Ashtin Olin,27.874299039976535,25.0
552,Kyra Hanawahine,27.796848239832624,25.0
553,Marine Hall-Poirier,27.796848239832624,25.0
554,Cianna Andrews,27.593308089454062,25.0
555,Kaitlynn Zdroik,27.324767204021985,25.0
556,Anna Unnasch,27.295344887167648,25.0
557,Allie Kemp,27.263867116389495,25.0
558,Maggie Scott,27.205626375477525,25.0
559,Ronika Stone,27.205626375477525,25.0
560,Mackenzie Walker,27.16572515824642,25.0
561,Caroline Finnell,27.00562196027006,25.0
562,Kat Anderson,26.946797426321233,25.0
563,Abby Waldburger,26.92526266801612,25.0
564,Blaire Register,26.88857404978315,25.0
565,Kaylee Taff,26.878813125452577,25.0
566,Annie Pringle,26.858671677631566,25.0
567,Christina Mcafee,26.850236051450903,25.0
568,Brittany Velez,26.819364283176412,25.0
569,Jenna Krenek,26.81611469747879,25.0
570,Kyla Manning,26.710335990421736,25.0
571,Meagan Carter,26.7041075096624,25.0
572,Hannah Meadows,26.638935000414907,25.0
573,Shawnee De Oliveira,26.52389751851273,25.0
574,Emilee Wissmach,26.4570415573275,25.0
575,Autumn Otto,26.378209367588585,25.0
576,Bethany Randall,26.350467821400354,25.0
577,Ally Carr,26.350377598513198,25.0
578,Maddie Gordon,26.290131556371104,25.0
579,Brianna Doehrmann,26.261197496179808,25.0
580,Sierra Ellett,26.25739528639427,25.0
581,Lainy Thomas,26.253682563379805,25.0
582,Kendall Murr,26.199642986441415,25.0
583,Rebekah Brodbeck,26.087801904245577,25.0
584,Jessica Manley,26.079892395766695,25.0
585,Alexa Van Komen,26.03531390662968,25.0
586,Kaitlan Krivdo,25.981894139081938,25.0
587,Nina Korfhage,25.96025380816308,25.0
588,Chloe Newton,25.899525424086185,25.0
589,Ashlyn Fleming,25.86995333563791,25.0
590,Alanya Ryan,25.806561605759892,25.0
591,Sara Watanabe,25.79899148606097,25.0
592,Mikayla Vivens,25.721284974453884,25.0
593,Liz Allen,25.62792648194922,25.0
594,Jessie Wachtman,25.62792648194922,25.0
595,Dora Beilin,25.603981164103647,25.0
596,Maxine Walsh,25.580006846590702,25.0
597,Lynsey Wright,25.551438331729265,25.0
598,Ivy Reynolds,25.551438331729265,25.0
599,Shelby Ladewig,25.490122403204055,25.0
600,Shelby Babowicz,25.4446163780211,25.0
601,Gabriella Johnston,25.41930057676701,25.0
602,Emily Nenninger,25.36117647527164,25.0
603,Phoebe Grace,25.129379062479092,25.0
604,Anna McCreadie,25.09787598284657,25.0
605,Kim Krutsinger,25.08743678840324,25.0
606,Brie Gathright,25.067373405584508,25.0
