,division,rank,name,rating,playerid,college,primary position,date
621,DI,622,Ashlan Cunningham,20.83219399637917,296,FAU,5,2018-03-30
622,DI,623,Helene Thelle,20.78043059879612,289,FIU,3,2018-03-16
623,DI,624,Alanya Ryan,20.739572692210736,1244,FGCU,5,2018-04-14
624,DI,625,Brittany Gillingham,20.62754278438546,1911,Santa Clara,5,2018-03-18
625,DI,626,Jenna Krenek,20.604021432062915,1878,Texas A&M Corpus Christi,5,2018-04-22
626,DI,627,Ashley Clingan,20.545451533006375,787,Jacksonville State,5,2018-04-20
627,DI,628,Peyton Boutwell,20.49312960160294,1404,Abilene Christian,5,2018-02-24
628,DI,629,Ashlyn Fleming,20.371276040397582,312,Pacific,5,2018-04-21
629,DI,630,Reagan Evans,20.370635342559332,1921,UNC Wilmington,5,2018-03-24
630,DI,631,Caroline Waite,20.318984634985643,1153,Austin Peay State,3,2018-03-17
631,DI,632,Kassidy Naone,20.20416086868917,1319,Portland,4,2018-04-20
632,DI,633,Peri Green,20.11993426505231,1054,USC,5,2018-03-18
633,DI,634,Kennedy Shelstead,20.095114013306983,1407,Abilene Christian,3,2018-04-22
634,DI,635,Jordan Terral,20.070263519732958,324,TCU,5,2018-04-14
635,DI,636,Hannah Meadows,20.016743523717704,782,"Cal State University, Sacramento",3,2018-04-27
636,DI,637,Brianna Doehrmann,19.987617442247327,98,Utah,3,2018-04-27
637,DI,638,Shelby Babowicz,19.964440471978026,475,Jacksonville,4,2018-04-22
638,DI,639,Mercedes Pacheco,19.96063981004071,2046,New Mexico,4,2018-04-21
639,DI,640,Kayla Walker,19.835030149441536,1876,Texas A&M Corpus Christi,4,2018-04-22
640,DI,641,Olivia Petnicki,19.796843155810997,305,Pacific,5,2018-03-03
641,DI,642,Sarah Stewart,19.751051069720983,1287,Mercer,5,2018-03-17
642,DI,643,Chloe Simon,19.700181786256596,1873,Texas A&M Corpus Christi,4,2018-04-20
643,DI,644,Bethany Salapek,19.629267138956532,1269,Jacksonville,5,2018-04-22
644,DI,645,Maddie Beck,19.57669630003699,1648,Missouri State,3,2018-03-02
645,DI,646,Chloe Stitt,19.565057431980915,1154,Austin Peay State,5,2018-04-20
646,DI,647,Briana Correa,19.463829121323165,32,Tulane,5,2018-04-08
647,DI,648,Jasmine Schmidt,19.321113276592747,1948,Nebraska,5,2018-03-23
648,DI,649,Morgan Esters,19.213506466930752,962,Tulane,5,2018-03-24
649,DI,650,Skye Southwick,19.14522461930131,886,Boise State,5,2018-04-21
650,DI,651,Lauren Walker,19.065768719873667,1411,Abilene Christian,2,2018-04-22
651,DI,652,Brooke Riley,19.065768719873667,1394,Abilene Christian,2,2018-04-22
652,DI,653,Kenna Hanses,19.039099514046512,885,Boise State,5,2018-04-21
653,DI,654,Allie Havers,18.8690945139972,1293,Nebraska,5,2018-03-23
654,DI,655,Laura Leap,18.85151037436664,1505,USF,4,2018-03-03
655,DI,656,Kayla Long,18.786908238834688,1302,New Mexico,5,2018-04-21
656,DI,657,Amy Weiss,18.730578698245008,1397,Abilene Christian,4,2018-04-22
657,DI,658,Sam Bogdan,18.597884836473124,1271,Jacksonville State,3,2018-03-06
658,DI,659,Autumn Otto,18.50366044209346,580,Coastal Carolina,5,2018-04-14
659,DI,660,Kaitlan Krivdo,18.335684052774628,504,FGCU,5,2018-04-22
660,DI,661,Chesney McClellan,18.29754730903541,1291,Nebraska,4,2018-03-23
661,DI,662,Haylie Beck,18.176617054615157,2082,Coastal Carolina,5,2018-04-14
662,DI,663,McKenna Webster,18.11937816810913,1633,ULM,5,2018-03-16
663,DI,664,Jessica Hall,18.10932806875845,680,Morehead State,2,2018-04-20
664,DI,665,Mackenzie Rombach,18.003909362513483,786,Jacksonville State,5,2018-03-24
665,DI,666,Kayla Frear,17.95637567260248,1273,Jacksonville State,5,2018-04-20
666,DI,667,Forfeit 1,17.907822494546398,2121,Santa Clara,5,2018-04-20
667,DI,668,Forfeit 2,17.907822494546398,2122,Santa Clara,5,2018-04-20
668,DI,669,Bailey Smith,17.88144835950446,606,ULM,4,2018-04-14
669,DI,670,Sarah Demmer,17.86313412969163,1651,Missouri State,4,2018-04-14
670,DI,671,Claire Doyle,17.801996183720092,317,TCU,4,2018-03-30
671,DI,672,Trish Koutsoukos,17.608176251231054,413,USF,5,2018-03-10
672,DI,673,Maybeth Sandercox,17.58434133965367,1402,Abilene Christian,5,2018-04-22
673,DI,674,Hayley Densberger,17.51501642265425,1294,Nebraska,4,2018-03-23
674,DI,675,Hannah Manzanares,17.311695240942377,429,Cal State Bakersfield,5,2018-03-24
675,DI,676,Kellie Hughes,17.19846858564361,1318,Portland,5,2018-03-12
676,DI,677,Grace Jarnagin,17.18109902835163,1274,Jacksonville State,4,2018-04-20
