,Name,Year,Height,Hometown/HS,Team,mu,sigma
163,Laura Gauta,Fr,5'11,"Garden Grove, Ca",Utah,36.86002918162257,2.1238521062633904
164,Lauren Sproule,So,6'0,"Lethbridge, Ca",Utah,37.54027103834768,2.1604329520970493
165,Megan Boudreaux,Jr,6'2,"South Jordan, Ut",Utah,25.0,8.333333333333334
166,Melissa Powell,,,,Utah,39.85246120485915,2.1238521062633904
167,Phoebe  Grace,Fr,6'2,"Laie, Hawai'i",Utah,40.2258874954817,2.3261366938282633
168,Shannon  Scully,Fr,6'2,"Huntington Beach, Ca",Utah,25.0,8.333333333333334
169,Tawnee Luafalemana,Sr,6'0,"Carson, Ca",Utah,36.2214935859719,2.1238521062633904
170,Torre Glasker,So,5'10,"South Jordan, Ut",Utah,25.0,8.333333333333334
171,Ashley Allmer,Jr,5'10,"Sarasota, Fl",LSU,33.74006537758031,5.0884728472465515
172,Cheyenne Wood,Sr,5'7,"Angier, N.C.",LSU,25.0,8.333333333333334
173,Claire Coppola,So,6'1,"Scottsdale, Az",LSU,41.387145958999184,1.8833034028729432
174,Emily Hardesty,GS,6'3,"Plano, Tx",LSU,35.716656396499694,4.833821803303274
175,Emmy Allen,GS,6'1,"Mill Creek, Wa",LSU,50.633314551736625,1.8116847297910976
176,Gina Tillis,Sr,5'10,"Rockwall, Tx",LSU,12.664670123568266,3.3334788684335366
177,Haleigh Nelson,GS,6'4,"Cary, N.C.",LSU,42.732291988541974,2.055608074416635
178,Hunter Domanski,Fr,5'10,"New Braunfels, Tx",LSU,43.059099051212826,1.858498583875018
179,Jeni Clark,Jr,5'7,"Carlsbad, Ca",LSU,25.0,8.333333333333334
180,Kahlee York,Fr,5'11,"Bradenton, Fl",LSU,33.61540394819497,6.809496968450191
181,Kristen Nuss,So,5'6,"New Orleans, La",LSU,41.387145958999184,1.8833034028729432
182,Lilly Kessler,Jr,5'10,"Augusta, Ga",LSU,20.576812796611126,2.3261366938282633
183,Maddie Ligon,Jr,5'8,"Bedford, Tx",LSU,43.533857714935415,1.9640069338548831
184,Mandi Orellana,Sr,5'7,"Guatemala City, Guatemala",LSU,42.732291988541974,2.055608074416635
185,Megan Davenport,Jr,5'11,"Metairie, La",LSU,50.633314551736625,1.8116847297910976
186,Nicole Decker,Fr,5'10,"Coral Springs, Fl",LSU,28.10832239906904,7.77436345109384
187,Olivia Powers,So,6'1,"Merrit Island, Fl",LSU,43.059099051212826,1.858498583875018
188,Riley Young,Sr,6'1,"La Jolla, Ca",LSU,43.533857714935415,1.9640069338548831
189,Savannah Wininger,Fr,5'9,"Baton Rouge, La",LSU,25.0,8.333333333333334
190,Tatum Ballard,Fr,5'8,"Mandeville, La",LSU,36.078027112635034,2.530894595439967
191,Taylor Bradley,So,5'9,"Round Rock, Tx",LSU,43.044404471069846,2.9462227105393546
192,AJ Baumann,Jr,5'7,"Roswell, Ga",South Carolina,25.0,8.333333333333334
193,Ali Denney,So,5'6,"Jupiter,Fl",South Carolina,44.546973740819375,1.9640069338548831
194,Aubrey Ezell,R-So,5'8,"Granbury, Tx",South Carolina,24.55391404282774,6.394304831481489
195,Avery Davis,Fr,5'8,"New Burn, N.C.",South Carolina,37.729878745973856,2.652347064623227
196,Cadie Bates,GS,6'2,"Temecula, Ca",South Carolina,41.44048455109168,1.935993527955682
197,Carly Schneider,So,5'10,"Cincinnati, Oh",South Carolina,33.61464322690471,1.8833034028729432
198,Caroline Skaff,So,5'11,"Haymarket, Va",South Carolina,42.38703937450314,1.9932270183499219
199,Delaney Wood,Jr,6'0,"Westlake, Tx",South Carolina,25.0,8.333333333333334
200,Franky Harrison,So,5'10,"Knoxville, Tn",South Carolina,29.919211907625503,2.055608074416635
201,Hannah Sorensen,GS,6'0,"Wilmington, N.C.",South Carolina,21.891677600930958,7.77436345109384
202,Hannah Edelman,So,5'5,"Hilton Head Island, S.C.",South Carolina,35.18070152808097,4.391011166604197
203,Jess Vastine,Fr,6'1,"Wittman, Az",South Carolina,42.38703937450314,1.9932270183499219
204,Julia Mannisto,Sr,5'11,"Westlake Village, Ca",South Carolina,33.61464322690471,1.8833034028729432
205,Katie Smith,So,5'9,"West Chester, Oh",South Carolina,41.44048455109168,1.935993527955682
206,Kennedy Copeland,Fr,5'10,"Newbury Park, Ca",South Carolina,25.0,8.333333333333334
207,Leah Perri,GS,6'0,"Richland, Mi",South Carolina,49.94789629776683,1.858498583875018
208,Louise Kooiman,Fr,5'9,"Fullerton, Ca",South Carolina,25.0,8.333333333333334
209,Lydia Dimke,GS,6'3,"Ham Lake, Mn",South Carolina,29.919211907625503,2.055608074416635
210,Macie Tendrich,Sr,5'3,"Boynton Beach, Fl",South Carolina,49.94789629776683,1.858498583875018
211,Quinn Fulton,Fr,5'8,"Calabasas, Ca",South Carolina,25.0,8.333333333333334
212,Sarah Nacouzi,So,5'10,"Raleigh, N.C.",South Carolina,25.0,8.333333333333334
213,Shannon Williams,Jr,5'10,"Ashburn, Va",South Carolina,44.546973740819375,1.9640069338548831
214,Brooke Burling,So,5'10,"Naperville, Ill",Arizona,37.726583573124955,2.1238521062633904
215,Candice Denny,Fr,6'2,"Saratoga, Ca",Arizona,33.61540394819499,6.809496968450191
216,Caroline Cordes,R-Fr,5'11,"Naperville, Ill",Arizona,38.43416663422054,2.1604329520970493
217,Chelsey Harris,Sr,6'0,"Houston, Tx",Arizona,35.832294608756385,2.2391216233559614
